id,name,sub_name,addr,lat,lng
66,동춘사골순대국,한식당,인천광역시,37.545969!,126.674447!
67,왕빈자삼파전,음식점,인천광역시 서구 심곡동 254번지 1층,37.5432788,126.6755877
68,굴세상,한식당,인천광역시 서구 심곡동 254-6,37.5423379,126.6753331
69,도미노피자 인천연희점,피자 전문점,인천광역시 서구 심곡동 298-2,37.5435323,126.6794438
70,너의샐러드,음식점,인천광역시 서구 승학로 244 제스트빌 103호,37.5442309,126.6728347
71,가좌동진천토종순대 청라점,음식점,인천광역시 서구 담지로104번길 17 1 11층,37.5383484,126.6610032
72,낙지한마당,음식점,인천광역시,37.5459486,126.6752497
73,장수골,음식점,인천광역시 서구 심곡동 344-9,37.5401993,126.6725001
74,미도방만두,음식점,인천광역시 서구 연희동 686-13,37.5492543,126.6767132
75,제주도야지,음식점,인천광역시,37.5455351,126.6748779
76,맘스터치 인천서구청점,패스트푸드점,인천광역시 서구 심곡동 247-11,37.5440284,126.6755077
77,고향마을,한식당,인천광역시 서구 심곡동 283-8,37.5444421,126.6816381
78,추오정남원추어탕,음식점,심곡동 294-1번지 서구 인천광역시 KR,37.5424988,126.6818149
79,논닭숯불닭갈비,음식점,심곡동 247-11번지 1층 1호 서구 인천광역시 KR,37.5440284,126.6755077
80,나무꾼이야기,음식점,인천광역시,37.5443131,126.6759067
81,보드람치킨 서구청점,음식점,인천광역시 서구 심곡동 337-6,37.5424212,126.6720001
82,양마니순대곱창,한식당,심곡동 258-1번지 102호 서구 인천광역시 KR,37.54155!4,126.672725!
83,해미루,음식점,인천광역시 서구 연희동 811-1,37.5287578,126.6551113
84,명태덕장,음식점,심곡동 340-2번지 심곡동 1층 서구 인천광역시 KR,37.5417918,126.6700253
85,산해관,음식점,인천광역시 서구 담지로86번길 16-62,37.5375729,126.6621564
86,청천올갱이해장국,음식점,심곡동 242-11번지 1층 105호 서구 인천광역시 KR,37.5448637,126.6731822
87,신차이나 포차,음식점,인천광역시 서구 심곡동 240-7,37.5459144,126.6747988
88,도참치,음식점,심곡동 251-14번지 1층 서구 인천광역시 KR,37.5423505,126.6737049
89,콩세알한식,음식점,심곡동 294번지 1층 일부 서구 인천광역시 KR,37.5429439,126.6820405
90,설빙 인천서구청점,음식점,인천광역시 서구 탁옥로 31 태영프라자 201호,37.5440804,126.673002!
91,다미복,음식점,인천광역시 서구 심곡동 293 8번지 2층,37.5423231,126.6821337
92,청라어보,음식점,인천광역시 서구 중봉대로586번길 9-23,37.532659!,126.6523242
93,공촌해장국,음식점,인천광역시 서구 공촌동 307-12,37.5516446,126.6866276
94,브라더차이나,음식점,인천광역시,37.5438068,126.6814615
95,해촌,음식점,심곡동 243-8번지 2층 서구 인천광역시 KR,37.5455942,126.6752446
96,원조팥죽팥칼국수,음식점,심곡동 241-7번지 서구 인천광역시 KR,37.5459267,126.6732426
97,어푸키친,음식점,인천광역시 서구 심곡동 333 9번지 2층,37.5442583,126.6724672
98,탑수산,회 전문점,인천광역시 서구 연희동 747-4번지 정원베스트빌 1동 301호,37.5475494,126.6733247
99,고향미추홀한정식,한식당,심곡동 251-6번지 1층 서구 인천광역시 KR,37.5430349,126.6731275
100,갯마을,낙지전문점,인천광역시 서구 담지로86번길 5-43,37.5489758,126.678194!
101,연희네야채곱창,음식점,인천광역시,37.5478679,126.6763304
102,구수옥,음식점,인천광역시 서구 중봉대로586번길 9-23,37.5326313,126.6525281
103,롯데리아 인천연희D/T점,패스트푸드점,인천광역시 서구 심곡동 248-1,37.5432545,126.6764163
104,하루야마,참치 전문점,인천광역시 서구,37.5339219,126.6528633
105,궁중토속삼계탕,음식점,인천광역시 서구 심곡동 246,37.5441113,126.6736572
106,아리오돌뼈신닭발,음식점,연희동 687-19번지 1층 서구 인천광역시 KR,37.54872!4,126.6763062
107,명가낙지마당,음식점,인천광역시,37.542619!,126.6728395
108,맥도날드 연희DT점,패스트푸드점,인천광역시 서구 서곶로 265,37.541477!,126.6763053
109,캐제,커피숍/커피 전문점,인천광역시 서구 담지로86번길 5-21,37.5381148,126.6611867
110,마포깡통구이,음식점,인천광역시 서구 연희동 726-3,37.5509811,126.6731615
111,안동잔치국수,국수 전문점,인천광역시 서구 공촌동 308,37.5517465,126.6842063
112,마포식당,한식당,연희동 806-5번지 1층 서구 인천광역시 KR,37.5294631,126.6562505
113,통영굴밥,음식점,심곡동 243-7번지 서구 인천광역시 KR,37.5455932,126.6750806
114,궁전쌈밥,쌈밥전문점,인천광역시,37.5476346,126.6741674
115,청라왕아구,음식점,인천광역시 서구 청라동 187-5,37.5290284,126.6540002
116,청라식당,음식점,연희동 746-14번지 서구 인천광역시 KR,37.5472879,126.671461!
117,빨간염소,음식점,심곡동 301-10번지 1층 서구 인천광역시 KR,37.5422513,126.6778849
118,옛날한우국밥,음식점,심곡동 284-1번지 1층 1호 서구 인천광역시 KR,37.5445068,126.6811334
119,연락골고추장추어탕,음식점,인천광역시 서구 경서로 27,37.554978!,126.6540405
