id,name,sub_name,addr,lat,lng
63,이정혁 계양 동태탕 동태찜,한식당,인천광역시,37.5358923,126.7372755
64,풍천민물장어이억집,민물장어 요리 전문식당,박촌동 3-2번지 1층 계양구 인천광역시 KR,37.5607258,126.7445204
65,현미순두부,음식점,계산동 61-3번지 2층 계양구 인천광역시 KR,37.5381582,126.7311215
66,김재국만두전문점,만두 전문점,인천광역시 계양구 계산동 주부토로 530,37.5413401,126.7284843
67,소담촌계양구청점,샤브샤브 전문점,인천광역시 계양구 계양문화로 54 2층,37.5354497,126.7368371
68,물꽁오리,음식점,인천광역시 계양구 계산동 964-57,37.5374191,126.7277486
69,정가옥설렁탕&갈비탕,한식당,인천광역시 계양구 계산1동 경명대로 1026 1 3층,37.5432774,126.7206256
70,고반식당 계양구청점,음식점,인천광역시 계양구 계산동 1074-2 고반식당 1층,37.5362697,126.7349055
71,밀밭길,음식점,인천광역시 계양구 용종동 216-3,37.5434223,126.7430487
72,바다애참치,음식점,인천광역시 계양구 계산4동 오조산로89번길 6,37.5390122,126.7380777
73,계양산맛집이야기,음식점,인천광역시 계양구 주부토로 565,37.5446422,126.728395!
74,벌말매운탕,음식점,인천광역시,37.578669!,126.778239!
75,어리버리 소머리국밥,음식점,인천광역시,37.5393115,126.7352422
76,다온황제해물문어보쌈 계산점,음식점,인천광역시 계양구 계산동 1074-5 대주프라자 2층,37.535567!,126.7348336
77,동백별관,서양음식전문점,"인천광역시 계양구 장제로 714 104,105호",37.5313254,126.7342227
78,계양쌈밥전문점,음식점,인천광역시 계양구 계산동 1080-7,37.5355579,126.7378502
79,옛날돼지국밥,음식점,계산동 964-25번지 계양구 인천광역시 KR,37.537678!,126.7268572
80,대향원,핫팟 레스토랑,인천광역시 계양구 계산4동 오조산로45번길 11,37.5348306,126.7371678
81,계양산칡냉면,음식점,인천광역시 계양구 임학동 25-26,37.546082!,126.7374476
82,엄마손맛집,한식당,인천광역시 계양구 작전동 봉오대로686번길 16,37.5285159,126.7249708
83,용우동,우동 전문점,인천광역시 계양구 용종동 209-4,37.5396449,126.737216!
84,가빈,음식점,인천광역시 계양구 계산2동 898-8,37.5475761,126.7226081
85,메밀하우스&돈까스,돈까스 전문식당,인천광역시 계양구 계양산로 198 1층,37.5473633,126.7378798
86,Eat's Italian fusion restaurant,이탈리아 음식점,인천광역시 계양구 계산동 1080-8,37.5357984,126.7377586
87,밤나무골,음식점,인천광역시 계양구 귤현동,37.565456!,126.7382379
88,숟가락식당,쌀 전문식당,인천광역시 계양구 어사대로41번길 21,37.5423438,126.7276423
89,다남식당,음식점,인천광역시 계양구 다남동 102-4,37.5705021,126.7302159
90,예원,음식점,인천광역시 계양구 계양2동 211-7,37.5385995,126.7380744
91,백소정 계양구청점,일본 음식점,"인천광역시 계양구 오조산로89번길 9 1층 108, 109호",37.5387761,126.7375821
92,시골순두부,음식점,인천광역시 계양구 계산동 계산새로65번길 13,37.5393115,126.7352422
93,무한낙지,해산물 요리 전문식당,인천광역시 계양구 봉오대로 685 무한낙지 가나빌딩 1층,37.5309457,126.7252035
94,썬바위박촌칼국수,국수 전문점,인천광역시 계양구 박촌동 165-2,37.554654!,126.7492769
95,신교령사골순대국,순대 전문점,인천광역시 계양구 계양1동 38-18,37.5821054,126.7810578
96,기쁜샘골,음식점,인천광역시 계양구 계산동 1063-3,37.5393115,126.7352422
97,용해루,중국 음식점,인천광역시 계양구 까치말로 22 101호 1층,37.5275606,126.7363491
98,그 옛날 맛집,음식점,인천광역시 계양구 임학동 병방시장로 40-1,37.5478768,126.7362233
99,산오징어양푼무침,해산물 요리 전문식당,인천광역시 계양구 계산동 18-16,37.5426527,126.7339239
100,향원정,숯불구이/바베큐전문점,인천광역시 계양구 오류동 장제로 1362,37.5815411,126.7282605
101,lalakitchen 라라식당,서양음식전문점,인천광역시 계양구 계양2동 임학동 46-50번지 1층 일부,37.5441068,126.7334067
102,정남진민물장어,민물장어전문점,인천광역시 계양구 박촌동 25-29,37.5578145,126.744835!
103,염박사정육식당&갈비탕,음식점,인천광역시 계양구 계산2동 919,37.5435887,126.7288001
104,사또족발,족발가게,인천광역시 계양구 계산동 1081-4,37.5352691,126.737368!
105,동촌,한식당,인천광역시 계양구 계산2동 900-5,37.5475991,126.7245213
106,옹심이메밀칼국수,음식점,인천광역시 계양구 계양2동 65-4,37.5447833,126.7361006
107,장기리추어탕,추어탕 전문점,인천광역시 계양구 계양1동 153-2,37.5768967,126.7366486
108,용종동초가집,음식점,인천광역시 계양구 용종동 217-6,37.5438668,126.7447152
109,파파존스 인천계양점,피자 전문점,인천광역시 계양구 계양문화로 119,37.541492!,126.7387419
110,소담국수,한식당,인천광역시 계양구 계산2동 경명대로 1063,37.5436976,126.7250936
111,산그리메,음식점,인천광역시 계양구 방축동 16,37.5531383,126.7386685
112,선농옥,음식점,인천광역시 계양1동 풍림아이원,37.5573393,126.7456843
113,차돌풍,음식점,계산동 1082-7번지 103호 RISEVILL 계양구 인천광역시 KR,37.5345187,126.736725!
114,갈비창고1981,숯불구이/바베큐전문점,인천광역시 계양구 장제로875번길 7,37.5454191,126.7378967
115,옛날떡볶이,음식점,인천광역시 계양구 임학동 46-38,37.544472!,126.7330831
116,신선수제돈까스,돈까스 전문식당,인천광역시 계양구 임학동 장제로 881,37.5455197,126.7388298
117,소왔쏘,한국식 소고기 전문 음식점,인천광역시 계양구 임학동 67번지 1층,37.5452471,126.7370566
118,천주채관,중국 음식점,인천광역시,37.5340623,126.7380772
119,맷돌로만,두부 요리 전문점,인천광역시,37.5476842,126.7300774
